

wavelength (um), T
1.30194, 1.0011
1.30099, 0.370742
1.30003, 0.139965
1.29908, 0.840946
1.29813, 1.18437
1.29718, 1.3064
1.29623, 1.34953
1.29529, 1.36469
1.29434, 1.36845
1.2934, 1.36364
1.29245, 1.35109
1.29151, 1.33464
1.29057, 1.31881
1.28964, 1.30434
1.2887, 1.28821
1.28776, 1.26826
1.28683, 1.24649
1.2859, 1.22658
1.28496, 1.20904
1.28403, 1.19016
1.28311, 1.16645
1.28218, 1.13869
1.28125, 1.10978
1.28033, 1.07763
1.2794, 1.02898
1.27848, 0.932244
1.27756, 0.699933
1.27664, 0.16026
1.27572, 0.287784
1.27481, 0.745209
1.27389, 0.902579
1.27298, 0.95555
1.27206, 0.97146
1.27115, 0.974011
1.27024, 0.973139
1.26933, 0.970686
1.26842, 0.965312
1.26752, 0.957442
1.26661, 0.949946
1.26571, 0.944744
1.26481, 0.940391
1.2639, 0.934137
1.263, 0.925822
1.26211, 0.918375
1.26121, 0.913955
1.26031, 0.910635
1.25942, 0.904175
1.25852, 0.89295
1.25763, 0.879538
1.25674, 0.865533
1.25585, 0.842803
1.25496, 0.782382
1.25408, 0.591364
1.25319, 0.0885368
1.2523, 0.395786
1.25142, 0.717565
1.25054, 0.81559
1.24966, 0.855697
1.24878, 0.874467
1.2479, 0.883252
1.24702, 0.888608
1.24615, 0.893379
1.24527, 0.897146
1.2444, 0.899239
1.24352, 0.90083
1.24265, 0.903558
1.24178, 0.906982
1.24091, 0.908919
1.24005, 0.908583
1.23918, 0.908203
1.23832, 0.910336
1.23745, 0.913944
1.23659, 0.914647
1.23573, 0.909668
1.23487, 0.901366
1.23401, 0.893475
1.23315, 0.880985
1.23229, 0.835945
1.23144, 0.657066
1.23058, 0.0902605
1.22973, 0.518186
1.22888, 0.799467
1.22803, 0.87503
1.22718, 0.909874
1.22633, 0.929914
1.22548, 0.939724
1.22464, 0.943642
1.22379, 0.94634
1.22295, 0.949893
1.2221, 0.953749
1.22126, 0.957
1.22042, 0.959553
1.21958, 0.961385
1.21875, 0.962111
1.21791, 0.962028
1.21707, 0.962712
1.21624, 0.96524
1.21541, 0.967839
1.21457, 0.9668
1.21374, 0.960848
1.21291, 0.953637
1.21208, 0.949288
1.21126, 0.942516
1.21043, 0.907041
1.2096, 0.753912
1.20878, 0.149922
1.20796, 0.57929
1.20713, 0.85313
1.20631, 0.918873
1.20549, 0.953078
1.20467, 0.973495
1.20386, 0.980192
1.20304, 0.978374
1.20222, 0.976677
1.20141, 0.979674
1.2006, 0.985229
1.19978, 0.98861
1.19897, 0.987879
1.19816, 0.985152
1.19736, 0.983778
1.19655, 0.985179
1.19574, 0.988024
1.19494, 0.989522
1.19413, 0.987506
1.19333, 0.982325
1.19252, 0.977291
1.19172, 0.976091
1.19092, 0.977529
1.19012, 0.971283
1.18933, 0.936454
1.18853, 0.821049
1.18773, 0.327923
1.18694, 0.521205
1.18615, 0.852294
1.18535, 0.933635
1.18456, 0.973767
1.18377, 0.989131
1.18298, 0.986134
1.18219, 0.978798
1.1814, 0.97911
1.18062, 0.987359
1.17983, 0.994558
1.17905, 0.993616
1.17827, 0.986856
1.17748, 0.982525
1.1767, 0.985314
1.17592, 0.991576
1.17514, 0.993833
1.17436, 0.988996
1.17359, 0.981518
1.17281, 0.978629
1.17204, 0.982762
1.17126, 0.988306
1.17049, 0.985446
1.16972, 0.967612
